"Band1","Band2","Band3","Band4","Band5","Band6","Band7","Band8","NDVI","GNDVI","NDRE","NDWI","DVI","SR","Class","Class_int","Class2","Class2_int"
0.0646,0.0416,0.0782,0.0544,0.084,0.0641,0.0885,0.2455,0.585917312661499,0.637212404134712,0.470059880239521,-0.637212404134712,0.1814,3.82995319812792,"tree","1","vegetation","1"
0.0794,0.0671,0.1071,0.0919,0.1236,0.1029,0.1333,0.277,0.458278494340616,0.501761995120629,0.350231537899098,-0.501761995120629,0.1741,2.69193391642371,"shrub","2","vegetation","1"
0.0975,0.0868,0.1289,0.1144,0.1507,0.1437,0.1604,0.2763,0.315714285714286,0.414384438187868,0.265399587817724,-0.414384438187868,0.1326,1.92275574112735,"bare earth","0","bare soil","0"
0.0897,0.0769,0.1194,0.1035,0.1468,0.1234,0.1461,0.2764,0.382691345672836,0.455119768360095,0.308402366863905,-0.455119768360095,0.153,2.23987034035656,"shrub","2","vegetation","1"
0.0986,0.086,0.1293,0.1117,0.1538,0.145,0.1619,0.2723,0.305056314402109,0.418229166666667,0.25426070935053,-0.418229166666667,0.1273,1.87793103448276,"tree","1","vegetation","1"
0.1017,0.0897,0.1275,0.1161,0.152,0.1433,0.1587,0.2661,0.299951148021495,0.392464678178964,0.252824858757062,-0.392464678178964,0.1228,1.8569434752268,"bare earth","0","bare soil","0"
0.0964,0.086,0.1285,0.117,0.1481,0.1386,0.1612,0.2892,0.35203366058906,0.423929098966027,0.284191829484902,-0.423929098966027,0.1506,2.08658008658009,"grass","3","vegetation","1"
0.0848,0.0666,0.106,0.0909,0.1244,0.1054,0.1349,0.2795,0.452325279293323,0.509179265658747,0.348938223938224,-0.509179265658747,0.1741,2.65180265654649,"NPV","4","bare soil","0"
0.0857,0.0695,0.1121,0.0963,0.1214,0.1128,0.1337,0.2817,0.428136882129278,0.490476190476191,0.356283100625903,-0.490476190476191,0.1689,2.49734042553191,"shrub","2","vegetation","1"
0.1001,0.0891,0.1314,0.1183,0.1574,0.1473,0.1648,0.2793,0.309423347398031,0.404929577464789,0.257824814231029,-0.404929577464789,0.132,1.89613034623218,"bare earth","0","bare soil","0"
0.1048,0.092,0.1341,0.1221,0.1679,0.151,0.1743,0.2824,0.303184125519151,0.396291718170581,0.236698051237136,-0.396291718170581,0.1314,1.87019867549669,"grass","3","vegetation","1"
0.0952,0.0882,0.1242,0.115,0.1511,0.1388,0.1597,0.2755,0.329954139512431,0.41101152368758,0.266084558823529,-0.41101152368758,0.1367,1.98487031700288,"shrub","2","vegetation","1"
0.0849,0.068,0.108,0.0958,0.1278,0.1079,0.1345,0.2713,0.430907172995781,0.478071370198856,0.337111877772302,-0.478071370198856,0.1634,2.51436515291937,"tree","1","vegetation","1"
0.0973,0.0893,0.1278,0.1189,0.1558,0.1428,0.158,0.288,0.337047353760446,0.415581223887933,0.291479820627803,-0.415581223887933,0.1452,2.01680672268908,"grass","3","vegetation","1"
0.0644,0.0397,0.0779,0.0561,0.0826,0.0632,0.09,0.2214,0.555867884750527,0.595675675675676,0.421965317919075,-0.595675675675676,0.1582,3.50316455696203,"tree","1","vegetation","1"
0.0739,0.0572,0.091,0.077,0.1045,0.0928,0.1133,0.2846,0.508214096449391,0.574115044247788,0.430510178436793,-0.574115044247788,0.1918,3.06681034482759,"tree","1","vegetation","1"
0.095,0.0786,0.1195,0.1078,0.1459,0.1245,0.1516,0.2765,0.379052369077307,0.438979963570128,0.291754263022658,-0.438979963570128,0.152,2.22088353413655,"grass","3","vegetation","1"
0.0701,0.0553,0.0927,0.0756,0.1045,0.0918,0.116,0.2884,0.517096265123619,0.584615384615385,0.426310583580613,-0.584615384615385,0.1966,3.14161220043573,"NPV","4","bare soil","0"
0.0869,0.0705,0.1051,0.0895,0.123,0.1084,0.1361,0.2899,0.455686668340447,0.528202424881392,0.361032863849765,-0.528202424881392,0.1815,2.67435424354244,"bare earth","0","bare soil","0"
0.0729,0.0583,0.0931,0.0755,0.1055,0.0906,0.1099,0.2918,0.526150627615063,0.588891913966785,0.452825491660443,-0.588891913966785,0.2012,3.22075055187638,"shrub","2","vegetation","1"
0.0913,0.0786,0.1168,0.1069,0.1431,0.1252,0.1445,0.2983,0.408736717827627,0.472359328726555,0.347335140018067,-0.472359328726555,0.1731,2.38258785942492,"shrub","2","vegetation","1"
0.101,0.0809,0.1201,0.1097,0.1493,0.1338,0.1531,0.2773,0.349063488202384,0.433074935400517,0.288568773234201,-0.433074935400517,0.1435,2.07249626307922,"bare earth","0","bare soil","0"
0.0946,0.0803,0.12,0.1096,0.1474,0.1337,0.1566,0.2719,0.340729783037475,0.425425950196592,0.269078179696616,-0.425425950196592,0.1382,2.0336574420344,"shrub","2","vegetation","1"
0.0665,0.045,0.0862,0.0717,0.0963,0.0745,0.1168,0.2963,0.598166127292341,0.610326086956522,0.434519486807068,-0.610326086956522,0.2218,3.97718120805369,"tree","1","vegetation","1"
0.0946,0.0792,0.1191,0.1083,0.1447,0.1348,0.1571,0.278,0.346899224806202,0.439295884027958,0.277867156975408,-0.439295884027958,0.1432,2.06231454005935,"shrub","2","vegetation","1"
0.0852,0.0596,0.0915,0.0778,0.1021,0.0909,0.1198,0.2888,0.521200948116935,0.575559192580469,0.413607440039158,-0.575559192580469,0.1979,3.17711771177118,"shrub","2","vegetation","1"
0.0919,0.0777,0.1188,0.1119,0.1475,0.1353,0.1632,0.2992,0.377215189873418,0.455606908294819,0.294117647058824,-0.455606908294819,0.1639,2.21138211382114,"bare earth","0","bare soil","0"
0.0599,0.0362,0.0783,0.0592,0.082,0.0575,0.1089,0.2951,0.673851389676687,0.665819926615862,0.460891089108911,-0.665819926615862,0.2376,5.13217391304348,"tree","1","vegetation","1"
0.0942,0.0763,0.117,0.1017,0.1425,0.1225,0.1499,0.3026,0.423665019995295,0.496908236458076,0.337458563535912,-0.496908236458076,0.1801,2.47020408163265,"grass","3","vegetation","1"
0.0808,0.0667,0.1007,0.0894,0.1172,0.1043,0.1257,0.3019,0.486459871984244,0.543061589573218,0.412067352666043,-0.543061589573218,0.1976,2.89453499520614,"grass","3","vegetation","1"
0.0798,0.0602,0.101,0.0884,0.1238,0.1044,0.1448,0.281,0.458225220550078,0.521386031402274,0.319868482855801,-0.521386031402274,0.1766,2.69157088122605,"shrub","2","vegetation","1"
0.0857,0.0694,0.1108,0.099,0.1322,0.1167,0.151,0.2761,0.405804480651731,0.472140762463343,0.292905642706626,-0.472140762463343,0.1594,2.36589545844045,"bare earth","0","bare soil","0"
0.071,0.0461,0.0851,0.0675,0.0992,0.0754,0.1178,0.2791,0.574612129760226,0.610502019619158,0.406399596875787,-0.610502019619158,0.2037,3.70159151193634,"tree","1","vegetation","1"
0.09,0.078,0.1219,0.1119,0.1475,0.1303,0.165,0.2932,0.384651711924439,0.447543816341644,0.279790484504583,-0.447543816341644,0.1629,2.25019186492709,"bare earth","0","bare soil","0"
0.0729,0.053,0.097,0.0756,0.1114,0.088,0.1284,0.281,0.523035230352304,0.575995513180034,0.372740595994138,-0.575995513180034,0.193,3.19318181818182,"tree","1","vegetation","1"
0.0669,0.0507,0.0915,0.0738,0.1044,0.0815,0.1155,0.2705,0.536931818181818,0.571304095265757,0.401554404145078,-0.571304095265757,0.189,3.31901840490798,"NPV","4","bare soil","0"
0.0699,0.0475,0.0885,0.0692,0.0974,0.0755,0.1134,0.2837,0.579621380846325,0.607820912439785,0.428859229413246,-0.607820912439785,0.2082,3.75761589403974,"other","6","bare soil","0"
0.0766,0.0508,0.0901,0.0769,0.1045,0.0817,0.1186,0.273,0.539329010431351,0.560445841669048,0.394279877425945,-0.560445841669048,0.1913,3.34149326805386,"tree","1","vegetation","1"
